case_id,state,isMetro,areaname,county,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income
1,AL,TRUE,"Montgomery, AL MSA",Autauga County,1p0c,8505.72876,3454.91712,10829.16876,5737.47984,4333.81344,0.0,6392.94504,39254.0532,73010.4140625
1,AL,TRUE,"Montgomery, AL MSA",Autauga County,1p1c,12067.5024,5091.70788,11588.19288,8659.5564,6217.45896,6147.8298,7422.07836,57194.3256,73010.4140625
1,AL,TRUE,"Montgomery, AL MSA",Autauga County,1p2c,12067.5024,7460.20308,12361.7772,11581.6326,7075.65816,15824.694,9769.56228,76141.0308,73010.4140625
1,AL,TRUE,"Montgomery, AL MSA",Autauga County,1p3c,15257.1504,9952.23924,13452.186,14503.7076,9134.3562,18802.1892,13101.7032,94203.5328,73010.4140625
1,AL,TRUE,"Montgomery, AL MSA",Autauga County,1p4c,15257.1504,12182.214,13744.5984,17425.7856,9942.36396,18802.1892,13469.2188,100823.52,73010.4140625
1,AL,TRUE,"Montgomery, AL MSA",Autauga County,2p0c,10180.2942,6334.01436,12861.8868,11474.95968,5983.78524,0.0,8236.73076,55071.6684,73010.4140625
2,AL,TRUE,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,1p0c,8616.0,3714.29484,10731.65256,5593.47984,4467.7518,0.0,6455.71512,39578.8944,77884.7578125
2,AL,TRUE,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,1p1c,11064.0,5473.96836,11522.93844,8444.00688,5992.35828,5962.7142,7096.60908,55556.5956,77884.7578125
2,AL,TRUE,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,1p2c,11064.0,8020.27812,12869.3352,11294.53344,6914.98608,15348.1992,9477.63648,74988.9672,77884.7578125
2,AL,TRUE,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,1p3c,14988.0,10699.404,13452.9648,14145.0612,9307.55928,18236.04,12997.8444,93826.8756,77884.7578125
2,AL,TRUE,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,1p4c,14988.0,13096.794,13773.354,16995.588,10176.22776,18236.04,13433.5236,100699.524,77884.7578125
2,AL,TRUE,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,2p0c,8676.0,6809.54076,12838.26,11186.95968,5611.02168,0.0,7819.80108,52941.5856,77884.7578125
2,AL,TRUE,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,2p1c,11064.0,8475.15888,14214.2784,14037.486,7079.8074,5962.7142,9341.41404,70174.8576,77884.7578125
3,AL,FALSE,"Barbour County, AL",Barbour County,1p0c,5856.0,3237.03924,10890.72876,5686.79004,3294.7668,0.0,5458.2774,34423.602,42822.75390625
3,AL,FALSE,"Barbour County, AL",Barbour County,1p1c,7776.0,4770.609,11436.48264,8495.9568,4546.13124,4846.73616,5425.51176,47297.4288,42822.75390625
3,AL,FALSE,"Barbour County, AL",Barbour County,1p2c,7776.0,6989.73852,12036.7944,11305.12356,5350.2096,11644.67508,6235.30884,61337.8476,42822.75390625
3,AL,FALSE,"Barbour County, AL",Barbour County,1p3c,9672.0,9324.6204,12404.508,14114.2908,6883.22532,13736.3484,7543.2576,73678.248,42822.75390625
3,AL,FALSE,"Barbour County, AL",Barbour County,1p4c,9672.0,11413.96584,12530.8248,16923.4572,7640.27712,13736.3484,7203.9456,79120.8168,42822.75390625
3,AL,FALSE,"Barbour County, AL",Barbour County,2p0c,5904.0,5934.57168,12711.6432,11373.58008,4289.58144,0.0,6632.1174,46845.492,42822.75390625
4,AL,TRUE,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,1p0c,7973.92164,3050.28684,11446.48464,5845.47984,3994.50552,0.0,6261.07248,38571.75,59443.98828125
4,AL,TRUE,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,1p1c,9779.52168,4495.38168,12233.8776,8821.218,5172.36072,5360.56824,6450.0,52312.9272,59443.98828125
4,AL,TRUE,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,1p2c,9779.52168,6586.48536,13566.48,11796.9558,5930.05008,13798.2588,8120.8206,69578.5728,59443.98828125
4,AL,TRUE,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,1p3c,12717.2832,8786.66232,14094.588,14772.6948,7791.72732,16394.4708,10569.82032,85127.244,59443.98828125
4,AL,TRUE,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,1p4c,12717.2832,10755.46872,14358.126,17748.432,8505.10332,16394.4708,10691.88276,91170.768,59443.98828125
4,AL,TRUE,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,2p0c,8500.9614,5592.19296,13391.6292,11690.95968,5106.50568,0.0,7616.02368,51898.272,59443.98828125
4,AL,TRUE,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,2p1c,9779.52168,6960.04764,14747.0328,14666.6988,6065.406,5360.56824,8536.58568,66115.8636,59443.98828125
4,AL,TRUE,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,2p2c,9779.52168,8814.74928,15243.2712,17642.436,6737.43756,13798.2588,9694.22676,81709.8984,59443.98828125
5,AL,TRUE,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,1p1c,8886.84084,4801.1898,12168.2568,8821.218,4959.71304,5118.81588,6171.906,50927.9412,63966.12890625
5,AL,TRUE,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,1p2c,8886.84084,7034.54592,13546.6704,11796.9558,5768.94612,13175.9808,7710.85176,67920.7908,63966.12890625
5,AL,TRUE,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,1p3c,11556.44016,9384.3948,14122.7064,14772.6948,7587.69072,15655.1088,9983.406,83062.4412,63966.12890625
5,AL,TRUE,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,1p4c,11556.44016,11487.1326,14435.4864,17748.432,8349.59544,15655.1088,10190.66376,89422.8576,63966.12890625
5,AL,TRUE,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,2p0c,7724.98824,5972.61432,13309.2,11690.95968,4963.18176,0.0,7466.6016,51127.5468,63966.12890625
5,AL,TRUE,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,2p1c,8886.84084,7433.52024,14708.7744,14666.6988,5913.51012,5118.81588,8325.42996,65053.5876,63966.12890625
6,AL,FALSE,"Bullock County, AL",Bullock County,1p0c,6384.0,3444.54168,11558.24196,5686.79004,3561.26844,0.0,5859.21684,36494.0592,44495.453125
6,AL,FALSE,"Bullock County, AL",Bullock County,1p1c,8460.0,5076.41748,12201.6804,8495.9568,4904.77776,5066.6982,6030.80856,50236.3416,44495.453125
6,AL,FALSE,"Bullock County, AL",Bullock County,1p2c,8460.0,7437.79908,12850.272,11305.12356,5760.39996,12173.1516,6990.9024,64977.6444,44495.453125
6,AL,FALSE,"Bullock County, AL",Bullock County,1p3c,10524.0,9922.35276,13252.1676,14114.2908,7408.52052,14359.752,8723.94504,78305.0268,44495.453125
6,AL,FALSE,"Bullock County, AL",Bullock County,1p4c,10524.0,12145.6308,13409.5044,16923.4572,8214.10176,14359.752,8699.87472,84276.3228,44495.453125
6,AL,FALSE,"Bullock County, AL",Bullock County,2p0c,6588.0,6314.9934,13252.0956,11373.58008,4675.26384,0.0,7116.21096,49320.1464,44495.453125
6,AL,FALSE,"Bullock County, AL",Bullock County,2p1c,8460.0,7859.6448,13855.7232,14182.746,5913.25128,5066.6982,7979.94144,63318.006,44495.453125
6,AL,FALSE,"Bullock County, AL",Bullock County,2p2c,8460.0,9954.07032,14229.516,16991.9136,6672.14352,12173.1516,8795.31228,77276.1096,44495.453125
7,AL,FALSE,"Butler County, AL",Butler County,1p1c,7608.0,4541.25288,11688.68412,8495.9568,4402.15356,4833.5424,5332.19532,46901.7864,51857.796875
7,AL,FALSE,"Butler County, AL",Butler County,1p2c,7608.0,6653.6946,12350.6436,11305.12356,5167.57476,11612.97588,6129.65628,60827.6724,51857.796875
7,AL,FALSE,"Butler County, AL",Butler County,1p3c,9468.0,8876.32248,12775.2396,14114.2908,6646.87212,13698.9552,7355.67996,72935.3616,51857.796875
7,AL,FALSE,"Butler County, AL",Butler County,1p4c,9468.0,10865.21856,12952.884,16923.4572,7367.52684,13698.9552,6980.17968,78256.2192,51857.796875
7,AL,FALSE,"Butler County, AL",Butler County,2p0c,6672.0,5649.25632,12887.4936,11373.58008,4464.47712,0.0,6835.28544,47882.0916,51857.796875
7,AL,FALSE,"Butler County, AL",Butler County,2p1c,7608.0,7031.06832,13507.1568,14182.746,5304.31164,4833.5424,7263.57792,59730.4044,51857.796875
7,AL,FALSE,"Butler County, AL",Butler County,2p2c,7608.0,8904.69648,13902.5232,16991.9136,5983.20156,11612.97588,7902.07836,72905.3904,51857.796875
7,AL,FALSE,"Butler County, AL",Butler County,2p3c,9468.0,10871.95824,14060.712,19801.0812,7369.96944,13698.9552,8525.7576,83796.4332,51857.796875
